Date,TaskID,WhatIDid,Evidence,TimeSpentMinutes,Confidence,SuggestedStatus,Notes
2026-05-13,T003,"Captured Vendor Ingenious/Mike replies on Debtor/Creditor, Stock Item Opening, AR/AP Invoice templates, CoA, bank/GL balances, sample test import, and Outstanding PO Listing.",Vendor Ingenious/Mike WhatsApp replies 12/05-13/05,30,High,In Progress,Partial confirmations only; mandatory fields/import sequence/rollback still open.
2026-05-14,T019,"Documented internal stock import automation flow, field mapping, validation rules, LeadTime uncertainty, repeat-use questions, and production guardrails.",docs/migration/stock_import_automation_notes.md,45,Medium,In Progress,"Internal Google Sheets prepared but production use still blocked by Vendor Ingenious/Mike confirmation on mandatory columns, LeadTime, Stock Item vs Stock Open Bal relationship, and repeat-use after go-live."
2026-05-14,T016,Confirmed internal SKU identity direction: PrimarySKU will be shared across platforms and imported into AutoCount; InternalProductID remains internal/outside AutoCount; SKU_History handles future SKU changes.,User confirmation in ChatGPT session,20,High,Keep In Progress,Only remaining confirmation is whether AutoCount 2.0 ItemCode can be changed safely after creation.
2026-05-18,T014,"Completed live stock master legend workbook with README, Product_Master, SKU_History, and Lists tabs.",https://docs.google.com/spreadsheets/d/14lYz_f9z9ZEksLsze-Ry9NnknUdGVd5xPaR-oWPXjDU/edit,30,High,Done,InternalProductID stays stable; SKU changes are handled through SKU_History.
2026-05-18,T017,Completed live stock input workbook for staff incoming-stock entry.,https://docs.google.com/spreadsheets/d/1G18eWe9T5SYrkPV55NO9M_6qFEk547PF2d3CmwT54wM/edit,30,High,Done,"Staff only enters VendorSKU, IncomingDate, IncomingQty, Location, PORef, and Remarks."
2026-05-18,T019,"Completed stock upload preparation MVP: input rows match against the master legend, show OK / NOT FOUND / DUPLICATE, and prepare AC2-ready output columns.",https://docs.google.com/spreadsheets/d/1G18eWe9T5SYrkPV55NO9M_6qFEk547PF2d3CmwT54wM/edit,45,High,Done,Production upload still needs final Vendor Ingenious/Mike/template confirmation under T003 before real use.
2026-05-18,T070,Updated dashboard generator to use SGT timestamps and added duplicate-check output to the generated dashboard.,scripts/build_dashboard.py; scripts/rank_tasks.py,35,High,In Progress,Exact duplicate check is automated; semantic overlaps still need human review where workflows are intentionally split.
2026-05-22,T073,Verified receipt printer Windows 11 support. Current printer model is supported.,User confirmation,10,High,Done,Windows 11 driver support confirmed.
2026-05-22,T007,Updated next action: Pending MD Kar Han to clean master list data.,User update,5,High,Not Started,Structure/master legend is done; MD is cleaning master list data.
2026-05-22,T008,"Prepared customer/debtor master list draft and passed to Brendan for checking.",Passed draft to Brendan,45,High,In Progress,Passed draft to Brendan. Waiting for confirmation.
2026-05-22,T009,"Prepared supplier/creditor master list draft and passed to Brendan for checking.",Passed draft to Brendan,45,High,In Progress,Passed draft to Brendan. Waiting for confirmation.
2026-05-22,T010,"Updated ReadyStatus to Waiting, blocked by Brendan/accountant.",User request,5,High,Not Started,Waiting for Brendan/accountant to decide on default CoA vs accountant CoA.
