Source,Request / Wishlist Item,Covered in tracker task(s),Coverage
Minutes,Stock master list,Prepare stock master list; Product master cleanup checker,Covered
Minutes,Customer master list,Prepare customer/debtor master list,Covered
Minutes,Supplier master list,Prepare supplier/creditor master list,Covered
Minutes,Chart of Accounts,Prepare Chart of Accounts draft; Confirm opening accounting balances,Covered
Minutes,AutoCount module scope,Confirm AutoCount 2.0 module scope,Covered
Minutes,Daily reconciliation,Create daily POS/payment reconciliation MVP,Covered
Minutes,Goods in transit,Add stock-in-transit questions; Create goods-in-transit tracker,Covered
Minutes,SKU identity / primary key,Create SKU history approach; Create primary product ID concept,Covered
Minutes,Migration parallel run,Add parallel run questions,Covered
Minutes,POS edge cases,Confirm POS edge case handling,Covered
Minutes,Selling price formula / price alert,Create price calculator + price change alert,Covered
Minutes,AR invoice dumping ground,Create AR chasing queue,Covered
Minutes,AP invoice inbox / manual expense automation,Create AP invoice inbox tracker; supplier invoice/expense automation plan,Covered
Minutes,RFID / barcode scanning,Barcode scanning workflow; RFID pilot,Covered
XB new system 2026.xlsx,New/current products update on AutoCount via shipment upload / PO / price alert,Shipment upload to PO/product update workflow; price calculator + alert,Covered
XB new system 2026.xlsx,Goods received at warehouse scan vs PO / discrepancy,Create warehouse GRN scan/discrepancy tracker,Covered
XB new system 2026.xlsx,Goods disbursement to channels,Create goods disbursement workflow by channel,Covered
XB new system 2026.xlsx,Goods received acknowledgement by channels,Create channel receiving acknowledgement tracker,Covered
XB new system 2026.xlsx,Evergreen replenishment alert,Create evergreen replenishment alert,Covered
XB new system 2026.xlsx,ETA of pre-order stock,Create pre-order ETA tracker,Covered
XB new system 2026.xlsx,Retail receive from HQ,Retail receive from HQ workflow,Covered
XB new system 2026.xlsx,Retail receive from suppliers / GRN,Retail supplier GRN workflow,Covered
XB new system 2026.xlsx,Membership POS / discount / points / birthday voucher,Membership POS workflow,Covered
XB new system 2026.xlsx,Membership mandatory fields,Membership mandatory fields checker,Covered
XB new system 2026.xlsx,Wholesale goods receive,Wholesale receiving workflow,Covered
XB new system 2026.xlsx,Outright buyer invoice,Wholesale outright buyer invoice workflow,Covered
XB new system 2026.xlsx,Consignee DO to AR / different stores,Consignee DO to AR workflow; Metro/consignment ageing tracker,Covered
XB new system 2026.xlsx,Reports by vendor,Create report by vendor,Covered
XB new system 2026.xlsx,Reports by brand,Create report by brand,Covered
XB new system 2026.xlsx,Reports by category,Create report by category; category cleanup/mapping,Covered
XB new system 2026.xlsx,Sales breakdown average pieces / average sales,Create sales breakdown report,Covered
